image_path,label
cifar10_folder/airplane/airplane_0000.png,airplane
cifar10_folder/airplane/airplane_0001.png,airplane
cifar10_folder/airplane/airplane_0002.png,airplane
cifar10_folder/airplane/airplane_0003.png,airplane
cifar10_folder/airplane/airplane_0004.png,airplane
cifar10_folder/airplane/airplane_0005.png,airplane
cifar10_folder/airplane/airplane_0006.png,airplane
cifar10_folder/airplane/airplane_0007.png,airplane
cifar10_folder/airplane/airplane_0008.png,airplane
cifar10_folder/airplane/airplane_0009.png,airplane
cifar10_folder/airplane/airplane_0010.png,airplane
cifar10_folder/airplane/airplane_0011.png,airplane
cifar10_folder/airplane/airplane_0012.png,airplane
cifar10_folder/airplane/airplane_0013.png,airplane
cifar10_folder/airplane/airplane_0014.png,airplane
cifar10_folder/airplane/airplane_0015.png,airplane
cifar10_folder/airplane/airplane_0016.png,airplane
cifar10_folder/airplane/airplane_0017.png,airplane
cifar10_folder/airplane/airplane_0018.png,airplane
cifar10_folder/airplane/airplane_0019.png,airplane
cifar10_folder/airplane/airplane_0020.png,airplane
cifar10_folder/airplane/airplane_0021.png,airplane
cifar10_folder/airplane/airplane_0022.png,airplane
cifar10_folder/airplane/airplane_0023.png,airplane
cifar10_folder/airplane/airplane_0024.png,airplane
cifar10_folder/airplane/airplane_0025.png,airplane
cifar10_folder/airplane/airplane_0026.png,airplane
cifar10_folder/airplane/airplane_0027.png,airplane
cifar10_folder/airplane/airplane_0028.png,airplane
cifar10_folder/airplane/airplane_0029.png,airplane
cifar10_folder/airplane/airplane_0030.png,airplane
cifar10_folder/airplane/airplane_0031.png,airplane
cifar10_folder/airplane/airplane_0032.png,airplane
cifar10_folder/airplane/airplane_0033.png,airplane
cifar10_folder/airplane/airplane_0034.png,airplane
cifar10_folder/airplane/airplane_0035.png,airplane
cifar10_folder/airplane/airplane_0036.png,airplane
cifar10_folder/airplane/airplane_0037.png,airplane
cifar10_folder/airplane/airplane_0038.png,airplane
cifar10_folder/airplane/airplane_0039.png,airplane
cifar10_folder/airplane/airplane_0040.png,airplane
cifar10_folder/airplane/airplane_0041.png,airplane
cifar10_folder/airplane/airplane_0042.png,airplane
cifar10_folder/airplane/airplane_0043.png,airplane
cifar10_folder/airplane/airplane_0044.png,airplane
cifar10_folder/airplane/airplane_0045.png,airplane
cifar10_folder/airplane/airplane_0046.png,airplane
cifar10_folder/airplane/airplane_0047.png,airplane
cifar10_folder/airplane/airplane_0048.png,airplane
cifar10_folder/airplane/airplane_0049.png,airplane
cifar10_folder/airplane/airplane_0050.png,airplane
cifar10_folder/airplane/airplane_0051.png,airplane
cifar10_folder/airplane/airplane_0052.png,airplane
cifar10_folder/airplane/airplane_0053.png,airplane
cifar10_folder/airplane/airplane_0054.png,airplane
cifar10_folder/airplane/airplane_0055.png,airplane
cifar10_folder/airplane/airplane_0056.png,airplane
cifar10_folder/airplane/airplane_0057.png,airplane
cifar10_folder/airplane/airplane_0058.png,airplane
cifar10_folder/airplane/airplane_0059.png,airplane
cifar10_folder/airplane/airplane_0060.png,airplane
cifar10_folder/airplane/airplane_0061.png,airplane
cifar10_folder/airplane/airplane_0062.png,airplane
cifar10_folder/airplane/airplane_0063.png,airplane
cifar10_folder/airplane/airplane_0064.png,airplane
cifar10_folder/airplane/airplane_0065.png,airplane
cifar10_folder/airplane/airplane_0066.png,airplane
cifar10_folder/airplane/airplane_0067.png,airplane
cifar10_folder/airplane/airplane_0068.png,airplane
cifar10_folder/airplane/airplane_0069.png,airplane
cifar10_folder/airplane/airplane_0070.png,airplane
cifar10_folder/airplane/airplane_0071.png,airplane
cifar10_folder/airplane/airplane_0072.png,airplane
cifar10_folder/airplane/airplane_0073.png,airplane
cifar10_folder/airplane/airplane_0074.png,airplane
cifar10_folder/airplane/airplane_0075.png,airplane
cifar10_folder/airplane/airplane_0076.png,airplane
cifar10_folder/airplane/airplane_0077.png,airplane
cifar10_folder/airplane/airplane_0078.png,airplane
cifar10_folder/airplane/airplane_0079.png,airplane
cifar10_folder/airplane/airplane_0080.png,airplane
cifar10_folder/airplane/airplane_0081.png,airplane
cifar10_folder/airplane/airplane_0082.png,airplane
cifar10_folder/airplane/airplane_0083.png,airplane
cifar10_folder/airplane/airplane_0084.png,airplane
cifar10_folder/airplane/airplane_0085.png,airplane
cifar10_folder/airplane/airplane_0086.png,airplane
cifar10_folder/airplane/airplane_0087.png,airplane
cifar10_folder/airplane/airplane_0088.png,airplane
cifar10_folder/airplane/airplane_0089.png,airplane
cifar10_folder/airplane/airplane_0090.png,airplane
cifar10_folder/airplane/airplane_0091.png,airplane
cifar10_folder/airplane/airplane_0092.png,airplane
cifar10_folder/airplane/airplane_0093.png,airplane
cifar10_folder/airplane/airplane_0094.png,airplane
cifar10_folder/airplane/airplane_0095.png,airplane
cifar10_folder/airplane/airplane_0096.png,airplane
cifar10_folder/airplane/airplane_0097.png,airplane
cifar10_folder/airplane/airplane_0098.png,airplane
cifar10_folder/airplane/airplane_0099.png,airplane
cifar10_folder/airplane/airplane_0100.png,airplane
cifar10_folder/airplane/airplane_0101.png,airplane
cifar10_folder/airplane/airplane_0102.png,airplane
cifar10_folder/airplane/airplane_0103.png,airplane
cifar10_folder/airplane/airplane_0104.png,airplane
cifar10_folder/airplane/airplane_0105.png,airplane
cifar10_folder/airplane/airplane_0106.png,airplane
cifar10_folder/airplane/airplane_0107.png,airplane
cifar10_folder/airplane/airplane_0108.png,airplane
cifar10_folder/airplane/airplane_0109.png,airplane
cifar10_folder/airplane/airplane_0110.png,airplane
cifar10_folder/airplane/airplane_0111.png,airplane
cifar10_folder/airplane/airplane_0112.png,airplane
cifar10_folder/airplane/airplane_0113.png,airplane
cifar10_folder/airplane/airplane_0114.png,airplane
cifar10_folder/airplane/airplane_0115.png,airplane
cifar10_folder/airplane/airplane_0116.png,airplane
cifar10_folder/airplane/airplane_0117.png,airplane
cifar10_folder/airplane/airplane_0118.png,airplane
cifar10_folder/airplane/airplane_0119.png,airplane
cifar10_folder/airplane/airplane_0120.png,airplane
cifar10_folder/airplane/airplane_0121.png,airplane
cifar10_folder/airplane/airplane_0122.png,airplane
cifar10_folder/airplane/airplane_0123.png,airplane
cifar10_folder/airplane/airplane_0124.png,airplane
cifar10_folder/airplane/airplane_0125.png,airplane
cifar10_folder/airplane/airplane_0126.png,airplane
cifar10_folder/airplane/airplane_0127.png,airplane
cifar10_folder/airplane/airplane_0128.png,airplane
cifar10_folder/airplane/airplane_0129.png,airplane
cifar10_folder/airplane/airplane_0130.png,airplane
cifar10_folder/airplane/airplane_0131.png,airplane
cifar10_folder/airplane/airplane_0132.png,airplane
cifar10_folder/airplane/airplane_0133.png,airplane
cifar10_folder/airplane/airplane_0134.png,airplane
cifar10_folder/airplane/airplane_0135.png,airplane
cifar10_folder/airplane/airplane_0136.png,airplane
cifar10_folder/airplane/airplane_0137.png,airplane
